,Frequency,Z real,Z imag,Fit real,Fit imag,Dataset,sample_name,material_name,height,diameter
0,2000039.0,-1781.26,15718.94,7081.416127481651,40356.31020836766,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
1,1588711.0,-1808.203,20736.28,8722.10952345821,49677.35727850947,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
2,1261992.0,-2102.375,26730.37,10744.53283985697,61150.82725602196,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
3,1002539.0,-2266.841,34310.01,13238.305496253339,75273.48953687349,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
4,796289.1,-2093.676,43553.97,16314.4952316772,92656.61828189711,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
5,632460.9,-2222.167,54693.21,20110.957202475136,114052.30727584711,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
6,502382.8,-1654.445,69716.82,24799.104044908014,140385.79076038423,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
7,399257.8,-337.3809,89327.94,30592.538775849844,172795.11872342502,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
8,316992.2,-3610.192,108649.0,37758.13391064265,212679.82564539486,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
9,251835.9,-297.2722,136290.0,46630.35292670174,261760.5777851214,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
10,200039.1,5000.54,171827.8,57629.911493477615,322152.1920110333,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
11,159023.4,7286.871,217108.1,71288.3057691534,396452.89278154256,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
