Frequency,Z real,Z imag,Fit real,Fit imag,Dataset,Circuit,sample_name,material_name,height,diameter
2000039.0,1389.31,220.4365,1364.4661572395798,214.66107001730538,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1588711.0,1398.055,180.9568,1384.5255626600926,181.56908359043047,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1261992.0,1404.216,144.0508,1400.0160391320824,153.3884724136514,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1002539.0,1405.213,122.4439,1412.0399424093798,129.76352557713005,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
796289.1,1405.406,101.2836,1421.4533881274742,110.26129512774433,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
632460.9,1409.205,87.52836,1428.913068216018,94.4407943488003,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
502382.8,1412.45,76.2222,1434.9208350358906,81.89399119214296,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
399257.8,1415.243,69.5741,1439.8617697467457,72.26840222336081,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
316992.2,1416.755,65.12376,1444.03487533359,65.27851224259358,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
251835.9,1426.647,57.99372,1447.6770803656827,60.71098210230825,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
200039.1,1430.638,59.19163,1450.9817748268256,58.426917249961804,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
159023.4,1433.544,63.00322,1454.1131514661768,58.36331439940483,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
126210.9,1439.707,64.14758,1457.2174828452455,60.53506262829997,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
100429.7,1442.696,75.08459,1460.4322686963665,65.03842825657874,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
79804.69,1448.11,84.31116,1463.8940040484529,72.05670650603014,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
63398.44,1454.556,96.2889,1467.745169258883,81.86861177056716,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
50273.44,1462.078,110.2407,1472.1409333954134,94.8599597622561,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
39960.94,1470.768,127.9828,1477.255989587681,111.53924286100127,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
31757.81,1480.412,149.2866,1483.2919001064708,132.5578002324,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
25195.31,1492.109,174.9025,1490.4853153519496,158.73543016222183,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
20039.06,1505.08,205.4259,1499.1174411102168,191.09248264107623,"(45, 26)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
