Frequency,Z real,Z imag,Fit real,Fit imag,Dataset,Circuit,sample_name,material_name,height,diameter
2000039.0,902.9354,107.5542,910.8215529832737,3.204615229132033,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1588711.0,899.6252,84.95837,910.9997160166766,3.8995721863273993,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1261992.0,897.7472,70.3448,911.2165157133685,4.745238398089055,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1002539.0,896.4432,59.53817,911.4803308695653,5.7742968661148,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
796289.1,897.6861,51.74822,911.8013573179463,7.026518269651214,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
632460.9,899.2674,45.35858,912.1920019725064,8.550298008311772,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
502382.8,899.8395,41.54075,912.6673623264771,10.404526569966402,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
399257.8,901.4595,39.48981,913.2458099347814,12.660865509003612,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
316992.2,902.3289,39.88792,913.9497004312395,15.40651699614953,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
251835.9,909.2239,37.32343,914.8062375210142,18.74759397640301,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
200039.1,910.1135,40.61678,915.8485243395623,22.81322118373054,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
159023.4,913.3892,44.5246,917.1168428106341,27.760525507053156,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
126210.9,916.6311,50.43924,918.6602104474835,33.780708573383755,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
100429.7,919.9766,57.5334,920.5382747639803,41.1064362391107,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
79804.69,923.9805,66.22141,922.8236185101401,50.020830575810855,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
63398.44,929.5202,76.63234,925.6045648239775,60.86841186960812,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
