'y-axis saved as y
'Q,PG3_59701-1.xye,SigmaYobs,Ycalc,Diff
39.367519,74.9613343,5.71267259,0,0
39.3359263,77.700552,5.79319554,0,0
39.304359,77.3982705,5.78409604,0,0
39.2728171,76.616792,5.76827715,0,0
39.2413008,77.3352341,5.7835488,0,0
39.2098097,76.9358408,5.75422315,0,0
39.1783441,76.3870493,5.72838164,0,0
39.1469038,76.9082764,5.73891569,0,0
39.1154888,78.1173979,5.76548007,0,0
39.0840992,79.6656195,5.79226751,0,0
39.0527349,78.7094039,5.74948769,0,0
39.0213957,77.9134264,5.71308102,0,0
38.990082,78.7152165,5.72278209,0,0
38.9587933,80.5011813,5.74955774,0,0
38.9275299,80.0773947,5.71800355,0,0
38.8962917,80.2939324,5.71035868,0,0
38.8650787,78.3386234,5.63697961,0,0
38.8338908,79.6098545,5.65005344,0,0
38.802728,79.6137106,5.62662197,0,0
38.7715904,80.9086372,5.65697061,0,0
38.7404778,78.7410438,5.58435746,0,0
38.7093903,79.0416636,5.56831011,0,0
38.6783278,78.3137469,5.5312574,0,0
38.6472904,80.3549794,5.57779818,0,0
38.6162779,77.0574982,5.47980517,0,0
38.5852905,78.2983536,5.49741211,0,0
38.5543281,79.7665104,5.51914884,0,0
38.5233905,79.7779322,5.50976418,0,0
38.492478,78.8147829,5.46242579,0,0
38.4615902,80.7943409,5.49497627,0,0
38.4307274,79.320019,5.43814049,0,0
38.3998894,78.8177494,5.4234125,0,0
38.3690763,79.3156266,5.42929485,0,0
38.338288,78.1836965,5.387122,0,0
38.3075245,76.9108936,5.33769333,0,0
38.2767858,80.6203035,5.42744209,0,0
38.2460719,78.438407,5.35702637,0,0
38.2153826,77.6471288,5.3170021,0,0
38.1847182,78.9326508,5.33430505,0,0
38.1540784,79.7150228,5.34492383,0,0
38.1234633,79.1562725,5.32593882,0,0
38.0928729,78.2317728,5.29043227,0,0
38.0623071,80.5713353,5.34171431,0,0
38.0317659,80.223456,5.31737437,0,0
