'y-axis saved as y
'Q,PG3_59708-1.xye,SigmaYobs,Ycalc,Diff
39.367519,74.0183186,5.66535318,0,0
39.3359263,73.0845945,5.63600381,0,0
39.304359,76.5337037,5.73926042,0,0
39.2728171,76.3943688,5.74250681,0,0
39.2413008,78.0324261,5.78477291,0,0
39.2098097,79.9294977,5.82261683,0,0
39.1783441,76.3679629,5.70875989,0,0
39.1469038,79.5947366,5.79802907,0,0
39.1154888,78.7001743,5.76319804,0,0
39.0840992,79.4955651,5.76810205,0,0
39.0527349,78.364019,5.72039185,0,0
39.0213957,77.3723378,5.67843525,0,0
38.990082,78.2416959,5.69015722,0,0
38.9587933,77.7914716,5.65305373,0,0
38.9275299,79.0595425,5.67004226,0,0
38.8962917,78.7564099,5.64778305,0,0
38.8650787,76.2257347,5.55781335,0,0
38.8338908,77.7284421,5.57792622,0,0
38.802728,80.0002689,5.61877963,0,0
38.7715904,79.6294442,5.60239853,0,0
38.7404778,79.1158123,5.57628555,0,0
38.7093903,77.3250449,5.50152355,0,0
38.6783278,78.7743885,5.52574956,0,0
38.6472904,79.4040126,5.53288782,0,0
38.6162779,76.0865107,5.43432395,0,0
38.5852905,77.8545673,5.46678758,0,0
38.5543281,79.291533,5.48770192,0,0
38.5233905,78.9953234,5.46992649,0,0
38.492478,76.0704385,5.36816537,0,0
38.4615902,81.6662872,5.50039324,0,0
38.4307274,80.3206213,5.44738983,0,0
38.3998894,78.183204,5.38798973,0,0
38.3690763,78.85485,5.39868809,0,0
38.338288,76.1028086,5.31212962,0,0
38.3075245,79.203572,5.38240889,0,0
38.2767858,77.7538268,5.33190089,0,0
38.2460719,78.453676,5.33961629,0,0
38.2153826,80.1090909,5.36575072,0,0
38.1847182,80.9474424,5.3705801,0,0
38.1540784,78.7619331,5.30155656,0,0
38.1234633,77.478025,5.26312135,0,0
38.0928729,80.5457098,5.3345288,0,0
38.0623071,82.1757445,5.36620411,0,0
38.0317659,76.2413139,5.19328896,0,0
38.0012494,79.0732719,5.25522976,0,0
37.9707574,80.1188575,5.2659647,0,0
37.94029,80.8513691,5.27367656,0,0
37.9098471,78.2576519,5.19987306,0,0
37.8794287,79.9393707,5.23328118,0,0
37.8490349,78.9799132,5.19328729,0,0
37.8186655,77.8650232,5.1548042,0,0
