'y-axis saved as y
'Q,BL21Robot0305_FY25c1-2025-01-14-1420_scan2.xye,SigmaYobs,Ycalc,Diff
0.167602889,34.3988881,5.86505653,0,0
0.168354447,36.2654254,6.02207816,0,0
0.169106005,35.7115619,5.97591515,0,0
0.169857563,33.7588521,5.81023684,0,0
0.170609121,35.1745459,5.93081326,0,0
0.171360678,33.8976143,5.82216577,0,0
0.172112235,34.3345169,5.85956627,0,0
0.172863792,35.1447117,5.92829754,0,0
0.173615348,35.3831274,5.94837183,0,0
0.174366904,33.8408095,5.81728541,0,0
0.17511846,34.3532274,5.86116263,0,0
0.175870015,34.1959133,5.84772719,0,0
0.17662157,33.8032159,5.81405331,0,0
0.177373125,34.2938397,5.85609424,0,0
0.178124679,33.5632816,5.79338257,0,0
0.178876233,33.5161142,5.78931034,0,0
0.179627787,33.0422766,5.74824118,0,0
0.18037934,33.5281482,5.79034958,0,0
0.181130893,32.6068583,5.71024152,0,0
0.181882445,32.9032843,5.73613844,0,0
0.182633998,34.3525956,5.86110873,0,0
0.18338555,31.9611644,5.65342059,0,0
0.184137101,32.5333399,5.70380048,0,0
0.184888652,33.3388377,5.77397936,0,0
0.185640203,32.5061381,5.70141545,0,0
0.186391754,31.9625483,5.65354298,0,0
0.187143304,32.0981113,5.66551951,0,0
0.187894854,31.1569294,5.58183925,0,0
0.188646403,32.8230554,5.72914089,0,0
0.189397952,32.2317887,5.6773047,0,0
0.190149501,31.7073947,5.63093196,0,0
0.190901049,30.8539251,5.55463096,0,0
0.191652597,32.8847576,5.73452331,0,0
0.192404145,30.9476356,5.56305992,0,0
0.193155692,32.9643293,5.74145707,0,0
0.193907239,30.0979797,5.48616257,0,0
0.194658785,31.6872425,5.62914225,0,0
0.195410331,32.3818921,5.69050895,0,0
0.196161877,30.884493,5.55738185,0,0
0.196913423,30.6751398,5.53851422,0,0
0.197664968,31.415861,5.60498537,0,0
0.198416512,30.1473544,5.49066065,0,0
0.199168057,31.1218279,5.5786941,0,0
0.1999196,31.4763561,5.61037932,0,0
0.200671144,30.2312914,5.49829895,0,0
0.201422687,30.9332347,5.56176543,0,0
0.20217423,30.4691127,5.5198834,0,0
0.202925772,30.6452157,5.53581211,0,0
0.203677314,30.9953691,5.56734848,0,0
0.204428856,30.8081738,5.55051113,0,0
0.205180397,30.3049693,5.50499495,0,0
0.205931938,30.8923762,5.55809105,0,0
0.206683478,31.379664,5.60175544,0,0
0.207435018,29.9294721,5.4707835,0,0
0.208186558,30.5831809,5.53020622,0,0
0.208938097,29.1797479,5.4018282,0,0
0.209689636,29.7565813,5.45495933,0,0
0.210441174,29.1987986,5.40359127,0,0
0.211192712,30.5476093,5.52698917,0,0
0.21194425,29.2995912,5.41290968,0,0
0.212695787,29.5215578,5.43337444,0,0
0.213447324,29.7554801,5.45485839,0,0
0.21419886,29.8675646,5.46512256,0,0
0.214950396,29.2316055,5.40662607,0,0
