'y-axis saved as y
'Q,BL21Robot0303_FY25c1-2025-01-14-1346_scan2.xye,SigmaYobs,Ycalc,Diff
0.167602889,27.9180015,5.28374882,0,0
0.168354447,27.193013,5.21469203,0,0
0.169106005,27.865669,5.27879427,0,0
0.169857563,28.4177995,5.33083479,0,0
0.170609121,27.9763725,5.28926956,0,0
0.171360678,27.4921965,5.24330015,0,0
0.172112235,28.1182191,5.30266151,0,0
0.172863792,29.1068375,5.3950753,0,0
0.173615348,26.9498063,5.19132028,0,0
0.174366904,26.0881897,5.1076599,0,0
0.17511846,26.8851517,5.18508936,0,0
0.175870015,27.1799394,5.21343835,0,0
0.17662157,26.8959618,5.18613168,0,0
0.177373125,26.5131877,5.14909581,0,0
0.178124679,25.9635607,5.0954451,0,0
0.178876233,25.3827461,5.03812923,0,0
0.179627787,26.553041,5.15296429,0,0
0.18037934,25.7580337,5.07523731,0,0
0.181130893,26.4872172,5.14657335,0,0
0.181882445,26.3366946,5.13192893,0,0
0.182633998,25.6372589,5.06332489,0,0
0.18338555,26.6768326,5.16496202,0,0
0.184137101,26.3105474,5.1293808,0,0
0.184888652,25.7276031,5.07223847,0,0
0.185640203,25.6568692,5.06526102,0,0
0.186391754,25.8149308,5.08083957,0,0
0.187143304,26.5148219,5.1492545,0,0
0.187894854,26.473967,5.1452859,0,0
0.188646403,26.4503401,5.14298941,0,0
0.189397952,26.5299965,5.15072777,0,0
0.190149501,26.518536,5.14961513,0,0
0.190901049,25.5076601,5.05051087,0,0
0.191652597,25.6392023,5.06351679,0,0
0.192404145,25.3636753,5.03623623,0,0
0.193155692,25.8754694,5.08679363,0,0
0.193907239,24.6571261,4.96559424,0,0
0.194658785,25.4202768,5.04185251,0,0
0.195410331,26.248713,5.12334978,0,0
0.196161877,25.4934497,5.04910385,0,0
0.196913423,25.060494,5.00604575,0,0
0.197664968,26.2884637,5.12722768,0,0
0.198416512,26.0817601,5.10703045,0,0
0.199168057,25.8695385,5.08621062,0,0
0.1999196,26.5440039,5.15208734,0,0
0.200671144,24.7790728,4.97785825,0,0
0.201422687,25.6203402,5.0616539,0,0
0.20217423,25.003191,5.00031909,0,0
0.202925772,25.349256,5.03480446,0,0
0.203677314,25.3061599,5.03052282,0,0
0.204428856,24.3581139,4.93539399,0,0
0.205180397,25.7026267,5.06977581,0,0
0.205931938,24.9119801,4.99119025,0,0
0.206683478,24.613868,4.96123654,0,0
0.207435018,24.3664183,4.93623524,0,0
0.208186558,24.3495128,4.93452255,0,0
0.208938097,25.5051225,5.05025965,0,0
0.209689636,25.2581255,5.02574627,0,0
0.210441174,25.2901717,5.02893346,0,0
0.211192712,23.1647211,4.81297425,0,0
0.21194425,25.5816962,5.05783513,0,0
0.212695787,24.7090359,4.97081843,0,0
0.213447324,24.631067,4.96296958,0,0
0.21419886,23.7639261,4.87482575,0,0
0.214950396,24.8735824,4.98734222,0,0
0.215701932,25.5058613,5.05033279,0,0
0.216453467,25.0186729,5.00186694,0,0
0.217205002,23.8496413,4.88360945,0,0
0.217956536,25.05648,5.00564482,0,0
0.21870807,23.9421835,4.89307506,0,0
0.219459604,24.1714039,4.9164422,0,0
0.220211137,24.3216119,4.93169463,0,0
0.22096267,23.9646862,4.89537396,0,0
0.221714202,24.2950397,4.92899986,0,0
0.222465734,25.0954179,5.0095327,0,0
0.223217265,24.0226737,4.90129307,0,0
0.223968796,23.9285837,4.89168516,0,0
0.224720327,23.672489,4.86543821,0,0
0.225471857,23.9868012,4.8976322,0,0
0.226223386,24.6218788,4.96204381,0,0
0.226974916,24.6544504,4.9653248,0,0
0.227726445,25.0455591,5.00455383,0,0
0.228477973,23.3446565,4.83163083,0,0
0.229229501,23.3312833,4.83024672,0,0
0.229981029,24.6945097,4.96935707,0,0
0.230732556,25.3044343,5.03035131,0,0
0.231484082,23.4677656,4.84435399,0,0
0.232235609,24.0910819,4.90826669,0,0
0.232987134,24.5360034,4.95338302,0,0
0.23373866,22.6862152,4.76300485,0,0
0.234490185,24.5023892,4.94998881,0,0
0.235241709,23.7067293,4.86895567,0,0
0.235993233,22.6116854,4.7551746,0,0
0.236744757,23.2600492,4.82286732,0,0
0.23749628,23.9560954,4.89449644,0,0
0.238247802,24.1013572,4.90931332,0,0
0.238999325,23.6522561,4.86335852,0,0
0.239750846,23.1728921,4.81382302,0,0
0.240502368,22.8964039,4.78501869,0,0
0.241253888,24.413779,4.94103015,0,0
0.242005409,23.470357,4.84462145,0,0
0.242756929,24.3903677,4.93866052,0,0
0.243508448,23.8930651,4.88805331,0,0
0.244259967,23.6452283,4.86263594,0,0
0.245011486,24.1860798,4.91793451,0,0
0.245763004,24.7648166,4.97642609,0,0
0.246514521,23.9181951,4.89062318,0,0
0.247266038,24.6816042,4.96805839,0,0
0.248017555,24.243637,4.9237828,0,0
0.248769071,24.7131128,4.9712285,0,0
0.249520587,24.6765065,4.96754532,0,0
0.250272102,24.513419,4.9511028,0,0
0.251023617,24.1077953,4.90996897,0,0
0.251775131,23.7774524,4.87621292,0,0
0.252526645,24.1966979,4.91901392,0,0
0.253278158,24.3217743,4.93171109,0,0
0.254029671,24.2905926,4.92854873,0,0
0.254781183,23.8824039,4.88696264,0,0
0.255532695,24.0180841,4.90082484,0,0
0.256284207,24.109329,4.91012515,0,0
0.257035717,24.7305927,4.9729863,0,0
0.257787228,24.5439823,4.95418836,0,0
0.258538738,24.5645672,4.95626545,0,0
0.259290247,24.7639231,4.97633631,0,0
0.260041756,24.7038861,4.9703004,0,0
0.260793265,24.692553,4.96916019,0,0
0.261544772,24.5192632,4.95169297,0,0
0.26229628,24.4900933,4.94874664,0,0
0.263047787,24.5559612,4.95539718,0,0
0.263799293,23.8218801,4.88076635,0,0
0.264550799,24.8355114,4.98352399,0,0
0.265302305,24.776889,4.9776389,0,0
0.26605381,24.523883,4.95215943,0,0
0.266805314,24.5452397,4.95431526,0,0
0.267556818,24.9008864,4.9900788,0,0
0.268308321,25.2633919,5.02627018,0,0
0.269059824,24.2281669,4.92221159,0,0
0.269811326,24.039105,4.902969,0,0
0.270562828,25.7771537,5.07712061,0,0
0.27131433,24.003461,4.89933271,0,0
0.27206583,24.5126294,4.95102307,0,0
0.272817331,24.6426108,4.96413243,0,0
0.273568831,24.6891737,4.96882016,0,0
0.27432033,24.7081936,4.97073371,0,0
0.275071829,24.5337793,4.95315852,0,0
0.275823327,25.9291893,5.09207122,0,0
0.276574824,25.0240448,5.0024039,0,0
0.277326322,24.8968885,4.98967819,0,0
0.278077818,24.9065832,4.99064958,0,0
0.278829314,24.2231701,4.92170398,0,0
0.27958081,24.9122882,4.99122112,0,0
0.280332305,25.065097,5.00650547,0,0
0.2810838,25.1478437,5.01476258,0,0
0.281835294,24.3279771,4.93233992,0,0
0.282586787,25.0303222,5.0030313,0,0
0.28333828,25.0610993,5.0061062,0,0
0.284089772,24.9554614,4.99554415,0,0
0.284841264,25.1314745,5.01313021,0,0
0.285592755,24.9064853,4.99063977,0,0
0.286344246,24.3532586,4.93490208,0,0
0.287095736,24.668669,4.96675639,0,0
0.287847226,25.0983635,5.0098267,0,0
0.288598715,24.5398253,4.9537688,0,0
0.289350204,24.7479847,4.97473464,0,0
0.290101692,25.3832795,5.03818216,0,0
0.290853179,25.2267952,5.02262832,0,0
0.291604666,24.741852,4.97411821,0,0
0.292356152,25.1713426,5.017105,0,0
0.293107638,23.7718286,4.87563623,0,0
0.293859123,25.4301861,5.04283513,0,0
0.294610608,24.6677307,4.96666193,0,0
0.295362092,24.9938333,4.99938329,0,0
0.296113576,24.5791397,4.95773534,0,0
0.296865058,23.9400959,4.89286173,0,0
0.297616541,23.8746167,4.88616585,0,0
0.298368023,24.9177368,4.9917669,0,0
0.299119504,24.8869645,4.98868364,0,0
0.299870985,24.2226325,4.92164937,0,0
0.300622465,24.0535354,4.90444038,0,0
0.301373944,24.2483525,4.92426162,0,0
0.302125423,24.0213628,4.90115933,0,0
0.302876902,24.625412,4.96239982,0,0
0.30362838,24.6918859,4.96909307,0,0
0.304379857,24.6743515,4.96732841,0,0
0.305131334,24.9477998,4.99477725,0,0
0.30588281,24.9256766,4.99256213,0,0
0.306634285,24.3836318,4.93797851,0,0
0.30738576,24.3943087,4.93905949,0,0
0.308137234,24.8766485,4.98764959,0,0
0.308888708,25.3176478,5.03166452,0,0
0.309640181,24.3684733,4.93644339,0,0
0.310391654,24.6042555,4.96026768,0,0
0.311143126,24.6124354,4.96109216,0,0
0.311894597,24.8601062,4.98599099,0,0
0.312646068,23.8681197,4.88550097,0,0
0.313397538,24.1848915,4.91781369,0,0
0.314149008,24.0310524,4.90214773,0,0
0.314900477,24.64656,4.96453019,0,0
0.315651945,24.2509708,4.92452747,0,0
0.316403413,25.2086824,5.02082488,0,0
0.31715488,24.617582,4.96161083,0,0
0.317906347,24.9593362,4.99593197,0,0
0.318657813,24.8911418,4.98910231,0,0
0.319409278,24.5166407,4.95142815,0,0
0.320160743,24.2425458,4.92367199,0,0
0.320912207,24.213796,4.92075157,0,0
0.321663671,23.7765499,4.87612037,0,0
0.322415134,23.773556,4.87581337,0,0
0.323166596,24.1738725,4.91669325,0,0
0.323918058,24.5526414,4.9550622,0,0
0.324669519,23.5383813,4.85163697,0,0
0.32542098,24.510056,4.95076317,0,0
0.32617244,24.4509385,4.94478903,0,0
0.326923899,24.3224861,4.93178325,0,0
0.327675357,24.7294311,4.9728695,0,0
0.328426815,24.5180856,4.95157406,0,0
0.329178273,24.2246199,4.92185127,0,0
0.32992973,24.3091389,4.93042989,0,0
0.330681186,24.1966561,4.91900966,0,0
0.331432641,24.26115,4.92556088,0,0
0.332184096,24.4175786,4.94141463,0,0
0.33293555,24.3517256,4.93474676,0,0
0.333687004,23.802106,4.87874021,0,0
0.334438457,24.852586,4.9852368,0,0
0.335189909,23.8854759,4.88727694,0,0
0.335941361,24.7171667,4.97163622,0,0
0.336692812,23.9746715,4.89639372,0,0
0.337444262,24.2666146,4.92611557,0,0
0.338195712,24.321543,4.93168764,0,0
0.338947161,23.9211044,4.89092061,0,0
0.33969861,23.5120975,4.84892746,0,0
0.340450057,24.2263786,4.92202992,0,0
0.341201505,24.003622,4.89934914,0,0
0.341952951,24.5391873,4.9537044,0,0
0.342704397,24.4426345,4.94394928,0,0
0.343455842,24.0400988,4.90307034,0,0
0.344207287,24.5960825,4.95944377,0,0
0.344958731,24.6354249,4.9634086,0,0
0.345710174,23.7864363,4.87713402,0,0
0.346461617,24.3540181,4.93497904,0,0
0.347213059,24.4431212,4.94399851,0,0
0.3479645,24.6267996,4.96253963,0,0
0.34871594,24.2730666,4.9267704,0,0
0.34946738,23.8007706,4.87860335,0,0
0.35021882,23.5293849,4.85070973,0,0
0.350970258,24.0340687,4.90245538,0,0
0.351721696,24.0077663,4.89977207,0,0
0.352473134,24.3203237,4.93156402,0,0
0.35322457,23.8090256,4.87944931,0,0
0.353976006,24.5050806,4.95026066,0,0
0.354727441,23.7689031,4.87533621,0,0
0.355478876,24.1894746,4.91827964,0,0
0.35623031,24.6140192,4.96125178,0,0
0.356981743,24.899817,4.98997164,0,0
0.357733176,24.35341,4.93491742,0,0
0.358484608,24.2237769,4.92176563,0,0
0.359236039,24.5859587,4.958423,0,0
0.359987469,23.8163542,4.88020022,0,0
0.360738899,24.1943604,4.91877631,0,0
0.361490328,23.4285872,4.84030859,0,0
0.362241757,23.5716979,4.8550693,0,0
0.362993184,24.8991371,4.98990351,0,0
0.363744612,24.522088,4.95197819,0,0
0.364496038,24.1206567,4.91127852,0,0
0.365247464,24.0853869,4.90768651,0,0
0.365998889,24.0712636,4.9062474,0,0
0.366750313,24.3757566,4.93718103,0,0
0.367501736,24.3894963,4.93857229,0,0
0.368253159,23.8403279,4.88265582,0,0
