'y-axis saved as y
'x,NOM_9999_AC031_1_25_ftfrgr.xye,Ycalc,Diff
1,-0.316699375,-0.27830585,-0.0383935247
1.01,-0.357613625,-0.279818175,-0.07779545
1.02,-0.393215625,-0.281331253,-0.111884372
1.03,-0.42240275,-0.282891374,-0.139511376
1.04,-0.4442925,-0.284533096,-0.159759404
1.05,-0.45826425,-0.286278313,-0.171985937
1.06,-0.463999,-0.288136312,-0.175862688
1.07,-0.461503125,-0.290104497,-0.171398628
1.08,-0.451112625,-0.292170123,-0.158942502
1.09,-0.433484375,-0.294312531,-0.139171844
1.1,-0.409570875,-0.296505504,-0.113065371
1.11,-0.38057775,-0.298720087,-0.0818576633
1.12,-0.3479115,-0.300927194,-0.0469843056
1.13,-0.313115,-0.303099921,-0.0100150793
1.14,-0.27780575,-0.30521551,0.0274097604
1.15,-0.243597,-0.307256904,0.0636599044
1.16,-0.212027625,-0.309213558,0.0971859332
1.17,-0.18450175,-0.311081281,0.126579531
1.18,-0.162223625,-0.312862413,0.150638788
1.19,-0.146154375,-0.314564786,0.168410411
1.2,-0.13697075,-0.316199883,0.179229133
1.21,-0.13504975,-0.317781856,0.182732106
1.22,-0.14045675,-0.319325813,0.178869063
1.23,-0.152954125,-0.320846153,0.167892028
1.24,-0.17202275,-0.322355452,0.150332702
1.25,-0.1969025,-0.323863523,0.126961023
1.26,-0.226624625,-0.325376816,0.0987521915
1.27,-0.26007575,-0.326898228,0.0668224781
1.28,-0.29604775,-0.32842751,0.0323797605
1.29,-0.333294375,-0.329961948,-0.00333242689
1.3,-0.370600875,-0.331497303,-0.0391035719
1.31,-0.406825,-0.333029168,-0.0737958321
1.32,-0.440942625,-0.334554258,-0.106388367
1.33,-0.4720965,-0.336071686,-0.136024814
1.34,-0.499615375,-0.337584106,-0.162031269
1.35,-0.523028,-0.339098493,-0.183929507
1.36,-0.5420735,-0.340626539,-0.201446961
1.37,-0.556691,-0.342184599,-0.214506401
1.38,-0.5670075,-0.34379312,-0.22321438
1.39,-0.573304125,-0.345475591,-0.227828534
1.4,-0.575989875,-0.347257092,-0.228732783
1.41,-0.575568875,-0.349162522,-0.226406353
1.42,-0.572595875,-0.35121462,-0.221381255
1.43,-0.56763675,-0.353431981,-0.214204769
1.44,-0.561244125,-0.355827177,-0.205416948
1.45,-0.553915875,-0.358405188,-0.195510687
1.46,-0.546078875,-0.361162286,-0.184916589
1.47,-0.538068125,-0.364085465,-0.17398266
1.48,-0.530119125,-0.367152544,-0.162966581
1.49,-0.52237475,-0.370332973,-0.152041777
1.5,-0.514883375,-0.373589252,-0.141294123
1.51,-0.507619625,-0.376879033,-0.130740592
1.52,-0.50050175,-0.380157744,-0.120344006
1.53,-0.49342,-0.383381546,-0.110038454
1.54,-0.486254125,-0.386510446,-0.0997436792
1.55,-0.478909875,-0.389511356,-0.0893985193
1.56,-0.471332875,-0.392360878,-0.0789719968
1.57,-0.463532,-0.395047576,-0.0684844237
1.58,-0.455590625,-0.397573539,-0.0580170864
1.59,-0.447680125,-0.399955112,-0.0477250134
1.6,-0.440052125,-0.402222614,-0.0378295108
1.61,-0.433033125,-0.404419098,-0.0286140271
