'y-axis saved as y
'x,NOM_9999_AC026_4_AbsCor_25_ftfrgr.xye,Ycalc,Diff
1,-0.165316375,-0.309687589,0.144371214
1.01,-0.2062395,-0.317043957,0.110804457
1.02,-0.2434225,-0.324517806,0.081095306
1.03,-0.275628625,-0.331812018,0.0561833927
1.04,-0.301833125,-0.338632455,0.0367993297
1.05,-0.321277125,-0.344706484,0.0234293586
1.06,-0.333509125,-0.349799925,0.0162907996
1.07,-0.338418,-0.353731948,0.0153139478
1.08,-0.336241,-0.356386656,0.0201456563
1.09,-0.327550625,-0.357720616,0.0301699907
1.1,-0.31322625,-0.357766125,0.0445398747
1.11,-0.294409375,-0.356629872,0.0622204967
1.12,-0.272444,-0.354487042,0.0820430416
1.13,-0.248805125,-0.351571223,0.102766098
1.14,-0.2250205,-0.348160729,0.123140229
1.15,-0.2025945,-0.344562129,0.141967629
1.16,-0.182927125,-0.341092008,0.158164883
1.17,-0.167247125,-0.338058113,0.170810988
1.18,-0.15654925,-0.33574095,0.1791917
1.19,-0.15154975,-0.334376888,0.182827138
1.2,-0.152651875,-0.334143972,0.181492097
1.21,-0.159936875,-0.33515133,0.175214455
1.22,-0.17316725,-0.337432578,0.164265328
1.23,-0.1918075,-0.340943819,0.149136319
1.24,-0.215065625,-0.345566433,0.130500808
1.25,-0.241942375,-0.351114371,0.109171996
1.26,-0.2712925,-0.357345554,0.0860530539
1.27,-0.30189475,-0.363976728,0.0620819778
1.28,-0.33252625,-0.370700892,0.0381746423
1.29,-0.362024625,-0.377206265,0.0151816395
1.3,-0.389359125,-0.383195516,-0.00616360934
1.31,-0.413682625,-0.388404146,-0.0252784785
1.32,-0.434372375,-0.39261709,-0.0417552851
1.33,-0.451065875,-0.395682291,-0.0553835843
1.34,-0.463663625,-0.397520202,-0.0661434229
1.35,-0.47232925,-0.398129058,-0.0742001922
1.36,-0.477470375,-0.397585552,-0.0798848225
1.37,-0.4797,-0.396040647,-0.0836593527
1.38,-0.47979725,-0.393710604,-0.0860866464
1.39,-0.4786395,-0.390863973,-0.0877755272
1.4,-0.4771545,-0.387805306,-0.0893491945
1.41,-0.4762465,-0.384856526,-0.0913899735
1.42,-0.47673425,-0.382337189,-0.0943970612
1.43,-0.47930375,-0.380544763,-0.0987589866
1.44,-0.484453125,-0.379735873,-0.104717252
1.45,-0.492467625,-0.380110013,-0.112357612
1.46,-0.5033855,-0.3817971,-0.1215884
1.47,-0.5170055,-0.384848735,-0.132156765
1.48,-0.532892,-0.389233759,-0.143658241
1.49,-0.550405,-0.394839954,-0.155565046
1.5,-0.568735625,-0.401480966,-0.167254659
1.51,-0.58696,-0.408906909,-0.178053091
1.52,-0.604097375,-0.416819491,-0.187277884
1.53,-0.619174625,-0.424890434,-0.194284191
1.54,-0.631289125,-0.432781957,-0.198507168
1.55,-0.639668625,-0.44016816,-0.199500465
1.56,-0.64372975,-0.446756148,-0.196973602
1.57,-0.6431175,-0.452305211,-0.190812289
1.58,-0.637736,-0.456642956,-0.181093044
1.59,-0.6277645,-0.459677609,-0.168086891
1.6,-0.613653375,-0.46140538,-0.152247995
1.61,-0.596108625,-0.461912134,-0.134196491
1.62,-0.576054875,-0.461369643,-0.114685232
1.63,-0.55458975,-0.460026661,-0.0945630892
1.64,-0.532920875,-0.458194491,-0.0747263838
1.65,-0.5123025,-0.456228089,-0.056074411
1.66,-0.4939565,-0.45450424,-0.0394522598
1.67,-0.47900925,-0.453397759,-0.0256114912
1.68,-0.4684195,-0.453257172,-0.0151623277
1.69,-0.46291825,-0.454381393,-0.0085368568
1.7,-0.4629575,-0.45699884,-0.00595865959
1.71,-0.4686885,-0.461250403,-0.00743809728
1.72,-0.479942125,-0.467177512,-0.0127646132
1.73,-0.49622425,-0.474716062,-0.0215081881
1.74,-0.5167485,-0.483696678,-0.0330518225
1.75,-0.540475,-0.493851653,-0.0466233472
1.76,-0.566161,-0.504828347,-0.0613326533
1.77,-0.59243275,-0.516208359,-0.0762243914
1.78,-0.617864875,-0.527531338,-0.0903335366
1.79,-0.64105675,-0.538322461,-0.102734289
1.8,-0.660732375,-0.548121723,-0.112610652
1.81,-0.675796875,-0.556513362,-0.119283513
1.82,-0.685421,-0.563153635,-0.122267365
1.83,-0.689097,-0.567795048,-0.121301952
1.84,-0.686669,-0.570305514,-0.116363486
1.85,-0.6783605,-0.570681265,-0.107679235
1.86,-0.664771125,-0.569051673,-0.095719452
1.87,-0.646845625,-0.565675793,-0.081169832
1.88,-0.625835375,-0.56093039,-0.0649049845
1.89,-0.603231625,-0.555289798,-0.0479418271
1.9,-0.580681125,-0.549298013,-0.0313831118
1.91,-0.55989475,-0.543534547,-0.0163602027
1.92,-0.54254475,-0.53857558,-0.00396917029
1.93,-0.53016225,-0.534952392,0.00479014162
1.94,-0.524035625,-0.533109083,0.009073458
1.95,-0.525117875,-0.533362769,0.0082448944
1.96,-0.533948375,-0.53586734,0.00191896523
1.97,-0.550597125,-0.540584197,-0.0100129278
1.98,-0.5746225,-0.547261508,-0.0273609923
1.99,-0.605067875,-0.555423334,-0.0496445406
2,-0.6404705,-0.564370228,-0.0761002724
2.01,-0.678907375,-0.573193223,-0.105714152
2.02,-0.718061375,-0.580797582,-0.137263793
2.03,-0.755313625,-0.585940793,-0.169372832
2.04,-0.787851875,-0.587279173,-0.200572702
2.05,-0.812804,-0.583423992,-0.229380008
2.06,-0.8273585,-0.57300449,-0.25435401
2.07,-0.828910875,-0.554734448,-0.274176427
2.08,-0.815192125,-0.527479578,-0.287712547
2.09,-0.7843935,-0.490323361,-0.294070139
2.1,-0.735272,-0.442626794,-0.292645206
2.11,-0.667231625,-0.38408141,-0.283150215
2.12,-0.580384875,-0.314748223,-0.265636652
2.13,-0.475581625,-0.235088911,-0.240492714
2.14,-0.354407875,-0.145975127,-0.208432748
2.15,-0.219152875,-0.0486883746,-0.1704645
2.16,-0.072741625,0.0551015041,-0.127843129
2.17,0.081354375,0.163371776,-0.0820174014
2.18,0.23923125,0.273798359,-0.0345671088
2.19,0.39668525,0.383820457,0.0128647934
2.2,0.54937375,0.490716675,0.0586570751
2.21,0.692961125,0.591689646,0.101271479
2.22,0.823277375,0.683955706,0.139321669
2.23,0.936469875,0.764836266,0.171633609
2.24,1.02914212,0.831847252,0.197294873
2.25,1.09847412,0.882783115,0.21569101
2.26,1.14231037,0.915791839,0.226518536
2.27,1.1592455,0.929438211,0.229807289
2.28,1.14864538,0.92275293,0.225892445
2.29,1.11067225,0.895265503,0.215406747
2.3,1.04625563,0.84701961,0.199236015
2.31,0.957044,0.77857091,0.17847309
2.32,0.845325375,0.690967194,0.154358181
2.33,0.713935125,0.585711876,0.128223249
2.34,0.566135375,0.464712888,0.101422487
2.35,0.405488125,0.330219177,0.0752689484
2.36,0.2357255,0.18474702,0.0509784801
2.37,0.060610875,0.0309995185,0.0296113565
2.38,-0.11618725,-0.12821684,0.0120295901
2.39,-0.291211625,-0.290076184,-0.0011354414
2.4,-0.461322375,-0.451814533,-0.00950784224
2.41,-0.623774625,-0.610804728,-0.0129698975
2.42,-0.776285875,-0.764623001,-0.0116628742
2.43,-0.917070125,-0.911104888,-0.00596523653
2.44,-1.04486087,-1.04838891,0.00352803279
2.45,-1.15888912,-1.17494715,0.0160580223
2.46,-1.25887562,-1.2896022,0.0307265799
2.47,-1.3449705,-1.39153089,0.0465603916
2.48,-1.4176985,-1.48025521,0.0625567106
2.49,-1.47788425,-1.55562217,0.0777379235
2.5,-1.52658425,-1.61777391,0.0911896615
2.51,-1.56499262,-1.66711046,0.102117835
2.52,-1.59437987,-1.70424668,0.1098668
2.53,-1.61600562,-1.72996649,0.113960862
2.54,-1.63106362,-1.74517643,0.114112807
2.55,-1.6406405,-1.75086028,0.110219775
2.56,-1.64565737,-1.7480363,0.102378924
2.57,-1.646867,-1.73772098,0.0908539813
2.58,-1.64482288,-1.72089672,0.0760738443
2.59,-1.63990238,-1.69848811,0.05858574
2.6,-1.63232438,-1.67134458,0.0390202021
2.61,-1.6221555,-1.64023005,0.0180745518
2.62,-1.6093715,-1.60581981,-0.00355168658
2.63,-1.59387013,-1.56870337,-0.0251667556
2.64,-1.575531,-1.52939199,-0.0461390117
2.65,-1.55424638,-1.48833022,-0.0659161598
2.66,-1.52995938,-1.44590973,-0.0840496402
2.67,-1.50269688,-1.4024843,-0.100212577
2.68,-1.47259075,-1.35838442,-0.114206331
2.69,-1.43988338,-1.31393066,-0.125952717
2.7,-1.40494538,-1.26944434,-0.135501033
2.71,-1.36826338,-1.22525527,-0.143008104
2.72,-1.33042525,-1.18170574,-0.148719508
2.73,-1.292093,-1.13915072,-0.152942275
2.74,-1.25398675,-1.09795436,-0.156032395
2.75,-1.21684438,-1.05848306,-0.158361312
2.76,-1.18138788,-1.02109602,-0.160291852
2.77,-1.14829275,-0.98613355,-0.1621592
2.78,-1.11813863,-0.953904228,-0.164234397
2.79,-1.09141738,-0.924672227,-0.166745148
2.8,-1.068474,-0.89864534,-0.16982866
2.81,-1.04951188,-0.8759646,-0.173547275
2.82,-1.03458438,-0.856696647,-0.177887728
2.83,-1.023587,-0.840829152,-0.182757848
2.84,-1.016278,-0.828269837,-0.188008163
2.85,-1.0122905,-0.818849157,-0.193441343
2.86,-1.01114675,-0.812326525,-0.198820225
2.87,-1.01229875,-0.808400138,-0.203898612
2.88,-1.01515112,-0.806719632,-0.208431493
2.89,-1.01909462,-0.806900808,-0.212193817
2.9,-1.02353725,-0.808542155,-0.214995095
2.91,-1.02793325,-0.811241829,-0.216691421
2.92,-1.03179962,-0.814613871,-0.217185754
2.93,-1.03474787,-0.818303805,-0.21644407
2.94,-1.03649212,-0.822002094,-0.214490031
2.95,-1.03685225,-0.825454415,-0.211397835
2.96,-1.03576088,-0.828469338,-0.207291537
2.97,-1.0332425,-0.830922227,-0.202320273
2.98,-1.02942275,-0.832755486,-0.196667264
2.99,-1.02448875,-0.833975474,-0.190513276
3,-1.01868388,-0.834645033,-0.184038842
3.01,-1.012278,-0.834875578,-0.177402422
3.02,-1.005543,-0.834813195,-0.170729805
3.03,-0.998737375,-0.834627405,-0.16410997
3.04,-0.99207275,-0.834495193,-0.157577557
3.05,-0.985708625,-0.834588389,-0.151120236
3.06,-0.979733625,-0.835059868,-0.144673757
3.07,-0.9741665,-0.836032079,-0.138134421
3.08,-0.96893225,-0.837586757,-0.131345493
3.09,-0.96388925,-0.839757881,-0.124131369
3.1,-0.958817875,-0.842526541,-0.116291334
3.11,-0.953442875,-0.845819282,-0.107623593
3.12,-0.94743925,-0.849508479,-0.0979307711
3.13,-0.940451875,-0.853415066,-0.0870368093
3.14,-0.932110625,-0.857314639,-0.0747959857
3.15,-0.92204175,-0.8609413,-0.0611004498
3.16,-0.909892375,-0.863996614,-0.0458957607
3.17,-0.89532575,-0.866154841,-0.0291709087
3.18,-0.878034375,-0.867069476,-0.0109648987
3.19,-0.857749,-0.866379028,0.00863002775
3.2,-0.83422825,-0.863710078,0.0294818282
3.21,-0.807262,-0.858679279,0.0514172786
3.22,-0.77664925,-0.850894448,0.0742451976
3.23,-0.7421975,-0.839948616,0.0977511161
3.24,-0.7037065,-0.825420352,0.121713852
3.25,-0.66095025,-0.806863577,0.145913327
3.26,-0.613662,-0.783803557,0.170141557
3.27,-0.561526625,-0.755729617,0.194202992
3.28,-0.50417125,-0.722088413,0.217917163
3.29,-0.441154375,-0.682281047,0.241126672
3.3,-0.371972375,-0.635657929,0.263685554
3.31,-0.296059875,-0.581521481,0.285461606
3.32,-0.21280625,-0.519129008,0.306322758
3.33,-0.1215695,-0.447701027,0.326131527
3.34,-0.021699375,-0.366434921,0.344735546
3.35,0.08743425,-0.274522291,0.361956541
3.36,0.206414,-0.171171065,0.377585065
3.37,0.33573375,-0.0556323094,0.391366059
3.38,0.475783,0.0727705721,0.403012428
3.39,0.626794875,0.214608723,0.412186152
3.4,0.788828625,0.370314369,0.418514256
3.41,0.96174325,0.540146185,0.421597065
3.42,1.14517362,0.724156099,0.421017526
3.43,1.33851637,0.922158489,0.416357886
3.44,1.54093512,1.13370338,0.407231747
3.45,1.75135225,1.35805486,0.393297386
3.46,1.96846812,1.59417595,0.374292173
3.47,2.19075075,1.84072105,0.350029703
3.48,2.416506,2.09603679,0.320469207
3.49,2.6438795,2.35817176,0.285707744
3.5,2.8709005,2.6248953,0.246005199
3.51,3.09550912,2.89372533,0.2017838
3.52,3.31562637,3.16196462,0.153661759
3.53,3.52915825,3.42674496,0.102413288
3.54,3.73408062,3.68507798,0.0490026491
3.55,3.928422,3.93391143,-0.00548942901
3.56,4.110326,4.17018942,-0.0598634234
3.57,4.27812212,4.39091478,-0.112792657
3.58,4.430267,4.59321185,-0.162944851
3.59,4.56541762,4.77438774,-0.208970117
3.6,4.68241575,4.93199055,-0.249574801
3.61,4.78031262,5.06386258,-0.28354995
3.62,4.85837712,5.16818707,-0.309809948
3.63,4.91605087,5.24352726,-0.327476386
3.64,4.95300237,5.28885653,-0.335854158
3.65,4.96904375,5.30357904,-0.334535288
3.66,4.96416325,5.28753999,-0.323376738
3.67,4.9385345,5.24102567,-0.302491166
3.68,4.89247788,5.16475354,-0.272275664
3.69,4.8264455,5.05985236,-0.233406859
3.7,4.74102463,4.92783358,-0.186808951
3.71,4.63693038,4.77055484,-0.133624466
3.72,4.51501138,4.59017684,-0.0751654619
3.73,4.37622688,4.38911448,-0.0128876078
3.74,4.22167763,4.16998455,0.0516930773
3.75,4.05257313,3.93555061,0.117022513
3.76,3.87024713,3.6886673,0.181579821
3.77,3.67616125,3.43222522,0.243936033
3.78,3.47185925,3.16909818,0.302761074
3.79,3.25903038,2.90209322,0.356937159
3.8,3.03943675,2.63390605,0.405530703
3.81,2.814908,2.36708058,0.447827424
3.82,2.58735138,2.1039754,0.483375977
3.83,2.35870613,1.84673657,0.511969556
3.84,2.130895,1.59727734,0.533617659
3.85,1.905834,1.35726451,0.548569493
